material_id,material_type,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,recycle_time_months,cost_per_unit_inr,product_category,manufacturing_unit_place,notes,used_for_products
E01,Recycled Corrugated Cardboard,8,20,3,3,90,2,45,E-Commerce Shipping,"Pune, Maharashtra","Strong, widely recycled","Apparel, books, electronics"
E02,Kraft Paper Mailer,6,5,8,4,80,1,18,E-Commerce Shipping,"Surat, Gujarat","Lightweight, plastic-free","Documents, clothing"
E03,Paper Bubble Wrap,6,8,9,5,80,2,25,E-Commerce Shipping,"Ahmedabad, Gujarat",Bubble wrap replacement,Fragile goods
E04,Kraft Paper Tube,7,10,8,4,80,3,30,E-Commerce Shipping,"Faridabad, Haryana",Cylindrical support,"Posters, bottles"
E05,Compostable PLA Mailer,6,6,9,7,40,6,35,E-Commerce Shipping,"Bengaluru, Karnataka",Needs industrial compost,Apparel parcels
R06,Jute Shopping Bag,9,15,10,6,70,4,120,Retail & Shopping Bags,"Kolkata, West Bengal","Reusable, durable","Grocery, clothing"
R07,Cotton Canvas Bag,9,18,9,7,70,6,150,Retail & Shopping Bags,"Coimbatore, Tamil Nadu",Long lifespan,"Electronics, fashion"
R08,Recycled Paper Carry Bag,6,7,8,4,85,1,20,Retail & Shopping Bags,"Vapi, Gujarat",Low cost alternative,Retail shopping
R09,rPET Reusable Bag,7,12,2,5,90,9,80,Retail & Shopping Bags,"Noida, Uttar Pradesh",Made from recycled plastic,Heavy items
R10,Cloth Drawstring Bag,8,6,9,6,70,5,60,Retail & Shopping Bags,"Jaipur, Rajasthan",Premium look,"Jewelry, gifts"
F11,Bagasse Food Container,5,4,10,2,10,2,12,Food Delivery & Takeaway,"Erode, Tamil Nadu","Compostable, heat safe","Meals, takeaway"
F12,Areca Palm Leaf Plate,4,3,10,2,10,2,10,Food Delivery & Takeaway,"Tumakuru, Karnataka",100% natural,"Plates, trays"
F13,Bamboo Fiber Container,6,5,9,4,20,4,18,Food Delivery & Takeaway,"Guwahati, Assam",Reusable,"Bowls, boxes"
F14,Molded Pulp Bowl,5,4,9,3,75,3,15,Food Delivery & Takeaway,"Rajahmundry, Andhra Pradesh",Plastic-free,"Soups, curries"
F15,Paper Straw,3,0.5,9,2,80,1,2,Food Delivery & Takeaway,"Sivakasi, Tamil Nadu",Single-use,Beverages
C16,Hemp Paper Box,6,6,9,4,80,4,40,Cosmetics & FMCG,"Indore, Madhya Pradesh",Premium eco feel,Skincare kits
C17,Cellulose Film Wrap,5,2,9,5,40,6,22,Cosmetics & FMCG,"Hyderabad, Telangana",Transparent,Cosmetic wraps
C18,Recycled Paper Label,3,1,8,4,80,1,3,Cosmetics & FMCG,"Sivakasi, Tamil Nadu",Eco branding,"Bottles, jars"
C19,Glass Cosmetic Jar,8,5,1,6,95,12,60,Cosmetics & FMCG,"Firozabad, Uttar Pradesh","Reusable, heavy","Creams, lotions"
C20,Aluminum Tin,8,6,1,5,90,6,35,Cosmetics & FMCG,"Daman, Dadra & Nagar Haveli",Lightweight metal,"Balms, solids"
G21,Molded Pulp Tray,7,10,9,3,75,3,30,Electronics & Fragile,"Hosur, Tamil Nadu",Shock absorbing,Gadgets
G22,Mushroom (Mycelium) Packaging,6,8,10,2,10,1,90,Electronics & Fragile,"Bengaluru, Karnataka",Fully compostable,High-value electronics
G23,Paper Honeycomb Wrap,7,12,9,4,85,2,28,Electronics & Fragile,"Mumbai, Maharashtra",Flexible cushioning,Glass items
P24,Rigid Paper Gift Box,8,10,7,4,75,4,70,Gifting & Premium,Delhi NCR,Luxury feel,Gift hampers
P25,Bamboo Gift Box,7,8,9,4,20,5,85,Gifting & Premium,Tripura,Sustainable premium,Corporate gifts
